Season,Team,total_bat_WAR,weighted_wOBA,total_pit_WAR,weighted_FIP,weighted_xFIP
2004,ANA,24.299999999999997,0.33671215139442234,19.800000000000004,4.052307139262348,4.316999065353369
2004,ARI,0.5999999999999996,0.31528429642699596,11.5,4.655367073584267,4.4072592404204824
2004,ATL,30.000000000000004,0.3483715856382065,16.4,4.08633801758473,4.172841361689336
2004,BAL,25.2,0.3471533752763135,16.0,4.470646542180234,4.678895859473023
2004,BOS,25.499999999999996,0.36774305679985664,21.1,3.885551050198686,4.069391776822643
2004,CHC,24.7,0.35024424480628863,22.3,3.893892551337424,3.824219898461772
2004,CHW,23.000000000000004,0.34470433212996393,8.500000000000004,4.877200661414259,4.47052329539928
2004,CIN,17.499999999999996,0.3423388621366149,5.9,4.916180181942678,4.6802161792037555
2004,CLE,26.9,0.3460632686084143,10.2,4.383307406752695,4.352456248895173
2004,COL,12.2,0.35307853403141365,7.5,4.990504920838682,4.906354300385109
2004,DET,23.6,0.34307623318385655,11.7,4.499951135167644,4.438960306720794
2004,FLA,16.5,0.33509958415408186,14.5,3.942407371103705,4.125960595961575
2004,HOU,19.799999999999997,0.34352752117013086,20.099999999999994,4.008278420422816,3.9434280015955343
2004,KCR,0.9999999999999996,0.31893552215189874,8.299999999999999,4.951279004864046,4.940159476915717
2004,LAD,25.3,0.3456322389420884,16.2,4.28992064121895,4.415444012379969
2004,MIL,10.700000000000003,0.3189112903225807,18.1,4.0029481938767,4.111872862267457
2004,MIN,17.1,0.33302856622998545,22.7,3.92403030734206,4.086037279453614
2004,MON,12.000000000000002,0.33000858463570326,9.900000000000002,4.6847533287154635,4.571531593935196
2004,NYM,11.0,0.3226820363029418,10.6,4.405408181335223,4.692028510713653
2004,NYY,22.3,0.3541815623965575,19.3,3.9513105462040548,4.1768275506698735
2004,OAK,22.099999999999998,0.3403984312469985,17.3,4.296616781692698,4.4518510715583
2004,PHI,24.599999999999998,0.3485298173043778,12.100000000000001,4.605190441825036,4.409251864325235
2004,PIT,11.2,0.32948451950140734,13.8,4.139276385457112,4.270799505824214
2004,SDP,26.400000000000002,0.34572670690305546,17.700000000000003,3.7836033301534986,3.9113129823952812
2004,SEA,15.899999999999995,0.32357570490536885,7.499999999999999,4.845279618555033,4.814220947147242
2004,SFG,27.700000000000003,0.36320536044362295,14.000000000000004,4.189087084870849,4.402469372693727
2004,STL,32.599999999999994,0.3551738044254104,16.2,4.160313479623824,4.068539768170883
2004,TBD,19.400000000000002,0.31981986562556747,7.500000000000002,4.779078321073128,4.940113370835136
2004,TEX,20.1,0.34186078925272884,14.599999999999996,4.459678933069894,4.509228616119207
2004,TOR,12.6,0.31997464042392126,11.600000000000001,4.705206969895287,4.7739406086387435
2005,ARI,15.300000000000002,0.33975408631772275,12.299999999999999,4.3498886149136995,4.097503613638295
2005,ATL,30.2,0.3430346728307254,14.7,4.075384371281237,4.192518048393493
2005,BAL,18.200000000000003,0.3353669776119403,12.7,4.467213412228798,4.296287968441814
2005,BOS,25.199999999999996,0.36015577321529474,14.5,4.194193444471289,4.414672626238222
2005,CHC,20.600000000000005,0.3420831527093597,15.899999999999999,4.001775445781077,3.696628274038052
2005,CHW,19.1,0.3283485974991551,23.8,4.043569219957836,4.120094869992973
2005,CIN,23.5,0.35542027077848826,8.399999999999999,4.781103372720869,4.4964019093825796
2005,CLE,31.199999999999996,0.34758955223880594,18.9,3.9002228392424882,3.957825715506193
2005,COL,11.5,0.3371211495116454,7.6000000000000005,4.697179382703474,4.524922073953347
2005,DET,19.0,0.32653991905813096,9.400000000000002,4.571258849377491,4.412847261778826
2005,FLA,18.2,0.33510103905410243,22.300000000000004,3.4897669619055813,3.8716390059334427
2005,HOU,18.800000000000004,0.3289461883408072,23.2,3.7369937555753796,3.6811663693131136
2005,KCR,7.800000000000001,0.32156599597585506,6.1,4.732406304200287,4.7180544453661115
2005,LAA,20.200000000000003,0.3209993427538614,21.7,3.815464924247864,4.086305019027789
2005,LAD,11.700000000000003,0.3260552271887699,10.6,4.388613458778505,4.178823951522884
2005,MIL,20.8,0.34183511029411767,14.600000000000001,4.191302978929523,4.205197384354566
2005,MIN,13.999999999999998,0.3142797962648557,18.6,3.9999647961698224,4.078583397873689
2005,NYM,19.700000000000003,0.3327712430092008,18.400000000000002,3.8614689655172416,4.196299616858238
2005,NYY,19.7,0.3546204711616572,14.799999999999999,4.087881089575695,4.103979395844247
2005,OAK,21.6,0.325607905982906,17.6,3.995811444652908,4.10754612257661
2005,PHI,29.3,0.34904022467838375,16.2,4.165073170731708,3.8586766325727777
2005,PIT,13.800000000000004,0.3248103921568627,7.2,4.552695015488594,4.602591523514504
2005,SDP,19.2,0.33501196325571453,16.800000000000004,3.7041861460741496,3.9532716842195397
2005,SEA,14.799999999999999,0.3211061143110323,8.5,4.615132915173238,4.737867383512543
2005,SFG,9.599999999999998,0.3175728155339806,11.700000000000001,4.296990627374821,4.5247327535252895
2005,STL,28.200000000000003,0.34426003552397866,16.0,4.0294553641626765,3.92688085197627
2005,TBD,21.4,0.33053943885653786,5.400000000000002,4.856861302681994,4.863665134099619
2005,TEX,22.099999999999998,0.34752349216927697,12.500000000000002,4.151829244357213,4.3262080471050055
2005,TOR,19.099999999999994,0.32707705248990576,14.9,4.331515001764914,4.24487892693258
2005,WSN,15.7,0.32058126603934983,14.799999999999999,3.9262504356918786,4.323260718020216
2006,ARI,11.9,0.3366072829131653,17.4,4.193685366677931,4.195800946265631
2006,ATL,23.7,0.35033935817041684,10.600000000000001,4.537013436998225,4.470411560889039
2006,BAL,19.199999999999996,0.33897488718854224,11.1,4.741526736027099,4.622530042745382
2006,BOS,19.7,0.3495013105014852,12.099999999999998,4.436721014492754,4.463146739130434
2006,CHC,14.2,0.3346300726185391,7.5,4.922822415557829,4.624118048447629
2006,CHW,19.600000000000005,0.34961092824226464,18.599999999999998,4.533763628104179,4.464923531193216
2006,CIN,17.4,0.3465655577299413,13.700000000000001,4.5419115797620195,4.4495192028635
2006,CLE,19.900000000000002,0.3509977389516958,15.600000000000001,4.190733673743617,4.35985577353758
2006,COL,14.500000000000002,0.34718108419838517,18.1,4.368689388071264,4.618701006971341
2006,DET,23.0,0.3401636935991606,18.7,4.290491696750901,4.393033935018051
2006,FLA,20.199999999999996,0.34421436848203935,12.5,4.544284394487644,4.639618908307028
2006,HOU,21.599999999999994,0.33241374714394506,19.5,4.230014710002802,4.134443121322498
2006,KCR,15.399999999999999,0.32633340261899807,1.1999999999999995,5.201456892101187,5.072236448115643
2006,LAA,17.6,0.3339853169804802,21.7,3.8512212808182587,4.214413403556981
2006,LAD,19.700000000000003,0.35320457739409766,16.6,3.9107430069930076,4.154244366744368
2006,MIL,15.200000000000001,0.33891030409100853,16.2,4.242810650887574,4.272445477599324
2006,MIN,23.8,0.33873251239952107,20.300000000000004,3.9505493215988268,3.862404107077375
2006,NYM,28.899999999999995,0.3518408690546096,13.699999999999998,4.260700722118213,4.302303646251226
2006,NYY,24.0,0.36330331412103745,19.4,3.9814396954490396,4.34078992905347
2006,OAK,17.300000000000004,0.3299407862805371,18.200000000000003,4.294625402290247,4.585531771573985
2006,PHI,25.1,0.36298558897243105,12.1,4.5416203039862335,4.2361227416117
2006,PIT,8.600000000000001,0.3243693711967545,12.6,4.2793403141361255,4.341188481675394
2006,SDP,22.0,0.33471078633182383,15.800000000000002,4.238510941247003,4.380541067146282
2006,SEA,20.999999999999993,0.3265525106082037,13.2,4.375966775132729,4.462733344750815
2006,SFG,15.8,0.33253487460815045,13.299999999999999,4.447010054261092,4.828201404404724
2006,STL,20.3,0.34255298273155416,7.6999999999999975,4.663245292451259,4.476419763372771
2006,TBD,7.499999999999998,0.32111078651685393,7.5,4.733627305305481,4.799705445328206
2006,TEX,16.8,0.3436531757162893,15.1,4.423311673060362,4.51727237140844
2006,TOR,25.0,0.3502832167832168,15.7,4.443830273422111,4.232954061933654
2006,WSN,15.700000000000003,0.3410479883664566,3.9999999999999996,4.950111508951406,5.058394884910485
2007,ARI,10.300000000000002,0.33143825665859566,16.999999999999996,4.411276736009377,4.323773806035748
2007,ATL,26.5,0.34994376667937477,12.0,4.359690413368513,4.162897977132805
2007,BAL,15.1,0.3306388359605058,11.799999999999999,4.494511146054944,4.456896679308112
2007,BOS,30.599999999999998,0.35569802955665025,17.0,4.145533634418825,4.2355138261627445
2007,CHC,22.400000000000002,0.34796062512685205,17.8,4.284827167980595,4.293644633110978
2007,CHW,3.200000000000001,0.3191101371951219,17.499999999999996,4.499891296254933,4.484505993596903
2007,CIN,18.2,0.3538347676419966,13.6,4.548069522036001,4.439436906978806
2007,CLE,22.1,0.34128754266211603,19.7,4.026504077433124,4.144360185961436
2007,COL,24.4,0.3591387803635128,15.500000000000002,4.469031279923396,4.459976061283116
2007,DET,31.3,0.3557252766868976,13.0,4.3847414723213545,4.444471740393394
2007,FLA,21.200000000000003,0.35213025136227805,8.599999999999998,4.622599064513283,4.594408260524226
2007,HOU,13.2,0.33631954740538433,11.299999999999999,4.676209063064477,4.4295484174978395
2007,KCR,14.1,0.31308497620666215,13.000000000000002,4.399901412824095,4.544338612016766
2007,LAA,23.7,0.34143762200532385,20.600000000000005,4.024626908260808,4.247267798544729
2007,LAD,16.3,0.3366183392958011,19.3,3.7754577464788732,3.8564031690140843
2007,MIL,24.700000000000003,0.34688815675394485,18.1,4.218756801692866,4.298528567110037
2007,MIN,14.299999999999999,0.32102043544690606,14.6,4.227417704809834,4.090933091329098
2007,NYM,25.900000000000006,0.3496162638186247,13.999999999999998,4.40698094809481,4.464732223222323
2007,NYY,34.300000000000004,0.3685065745111261,13.700000000000001,4.285719427618296,4.527421648670003
2007,OAK,17.499999999999996,0.3348273982558139,16.399999999999995,4.085338460238317,4.249174342939238
2007,PHI,33.49999999999999,0.36185237613751264,9.700000000000001,4.744572464408878,4.371466088955699
2007,PIT,12.4,0.3326543186543186,12.6,4.461304417541891,4.505568026938187
2007,SDP,12.599999999999998,0.32716528087609004,22.6,3.5106725293132324,3.9986415410385256
2007,SEA,14.799999999999997,0.33309649999999996,14.500000000000002,4.358636363636364,4.550226512617818
2007,SFG,11.599999999999998,0.3221240587349397,13.599999999999998,4.276798552066674,4.606217695092179
2007,STL,17.5,0.33564155332856116,10.2,4.435358588032716,4.598594920361601
2007,TBD,17.5,0.33943660900969397,10.4,4.611121407990032,4.337574955221556
2007,TEX,11.500000000000002,0.3267918433272764,8.8,4.794655088459667,4.801194611264405
2007,TOR,16.5,0.3315449026959471,18.3,4.161291728212703,4.066330132939439
2007,WSN,15.7,0.32649803554724044,5.5,4.880217137860682,4.92435222967065
2008,ARI,10.700000000000001,0.33324051579144087,23.5,3.7539363508823755,3.811657682935834
2008,ATL,21.799999999999997,0.3445822675048776,8.1,4.268836259697836,4.177063291139241
2008,BAL,20.900000000000002,0.33758343378680905,4.399999999999999,5.087031301482701,5.065760296540362
2008,BOS,28.9,0.35109494020239185,18.0,3.991706884588699,4.137536041939713
2008,CHC,27.0,0.3569384501297738,17.099999999999998,4.093782317538358,4.094713062643046
2008,CHW,16.299999999999997,0.3421807594936709,23.6,3.94228421771806,3.910854019585516
2008,CIN,12.900000000000002,0.32828538175046557,9.499999999999998,4.464054885079561,4.127435621492813
2008,CLE,23.2,0.3358056144067797,9.9,4.138268759741705,4.1921008684034735
2008,COL,11.000000000000002,0.3454016809665558,17.9,4.146512692108444,4.197991711276118
2008,DET,15.800000000000002,0.3462529782761037,9.299999999999999,4.664155405405405,4.7763933750823995
2008,FLA,19.1,0.34320454545454543,15.100000000000001,4.305766812865497,4.3816739766081865
2008,HOU,22.400000000000002,0.33188261891843013,9.3,4.5903682896379525,4.25434222846442
2008,KCR,7.3999999999999995,0.31503019447287617,15.499999999999996,4.16792790622993,4.363889691714837
2008,LAA,14.1,0.3210087069284921,17.500000000000004,4.083956745772554,4.120585673851514
2008,LAD,14.2,0.3276955065037445,19.7,3.5651888291833798,3.692045712555816
2008,MIL,22.7,0.340668870523416,9.399999999999999,4.5317733179799315,4.25309096890936
2008,MIN,20.200000000000003,0.33151003880546653,12.3,4.174516934046346,4.1947156862745105
2008,NYM,29.7,0.3445213987473904,13.199999999999996,4.25254309063893,4.239100297176821
2008,NYY,22.200000000000003,0.3429119826495572,17.1,3.729082850623135,3.949997367035281
2008,OAK,15.299999999999999,0.3106081963967531,9.400000000000002,4.214520837527682,4.524241997181396
2008,PHI,32.300000000000004,0.3444552315608919,14.2,4.269288861875094,4.18459124753077
